apartment_type,bedroom,bathroom,toilet,location,price
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Egbo Efon, Lekki, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Obawole, Ogba, Ikeja, Lagos",1100000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Harmony Estate, Ogba, Ikeja, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Off Toyin Street, Ikeja, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,1.0,"  Royal Pine Gate1, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",12000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",5500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Atlantic Beach Estate, Oniru, Victoria Island (VI), Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Kunsela Road, Ikate Elegushi, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Spar Road, Salem, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ikate, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikeja, Lagos",150000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Allen, Ikeja, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Grace Anjous Street, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Sangotedo, Ajah, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Obawole Ifako Ijaye Lga, Ogba, Ikeja, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikoyi, Lagos",7000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ahmadiya, Ojokoro, Ifako-Ijaiye, Lagos",300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  By Lagos Business School, Ajah, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikota, Lekki, Lagos",1100000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikota, Lekki, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki Gardens, Ikate, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid By Chevron Tollgate, Lekki Phase 2, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  34, Amuda Street, Lekki Phase 2, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Tulip Estate, Chevron Alternative, Lekki, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Green Ville Estate, Badore, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Even Estate, Badore, Ajah, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  20 Lawal Bello Street, Mashey Hill Estate, Ado, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  16 Richard Tokunbo Street, Amen Estate, Ado, Ajah, Lagos",950000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  14 Betty A.y Street, Badore, Ajah, Lagos",1600000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Akoka, Yaba, Lagos",756000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Victoria Island (VI), Lagos",10000000
Self contain (single rooms) for rent,1.0,3.0,1.0,"  Remlek, Royal Palm Will Estate, Badore, Ajah, Lagos",450000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Infinity Estate, Ado, Ajah, Lagos",500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Temu, Epe, Lagos",900000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ifako, Gbagada, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikate, Lekki, Lagos",6500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Orchid Road Eleganza Bustop, Lekki Phase 2, Lekki, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Monica Court Orchid Road Eleganza Bustop, Lekki Phase 2, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Southern View Estate, Lekki, Lagos",850000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",12000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Road, Old Ikoyi, Ikoyi, Lagos",15000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Surulere, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oke Ira, Ogba, Ikeja, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lekki, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lekki Phase 2, Lekki, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Ajose Adeogun, Victoria Island (VI), Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Oral Estate, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Westwood Estate, Badore, Ajah, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ogudu, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ojuelegba Rd, Surulere, Lagos",500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Beesam, Mafoluku, Oshodi, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Makinde Street, Mafoluku, Oshodi, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Canoe, Ajao Estate, Oke Afa, Isolo, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogba, Ikeja GRA, Ikeja, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Gbaja Homes, Surulere, Lagos",3300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Admiralty Way, Studio 24, Lekki Phase 1, Lekki, Lagos",900000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Osapa, Lekki, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Osapa, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Lafiaji Community Off Orchid Road, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Drive, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Soluyi, Gbagada, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Victoria Street, Ojota, Lagos",360000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Oniru Estate, Victoria Island (VI), Lagos",6500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Awolowo Road, South West, Ikoyi, Lagos",7500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  By Majek, Ajah, Lagos",850000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Alagomeji, Yaba, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Osapa, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Osborne Foreshore Estate 2, Osborne, Ikoyi, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Sabo-alagomeji, Sabo, Yaba, Lagos",550000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikorodu, Lagos",700000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ishola Street, Alagomeji, Yaba, Lagos",750000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Mobile Road, Ilaje, Ajah, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate, Ajah, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",600000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Royal Palm Will Estate, Badore, Ajah, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Miyaki Street, Oworonshoki, Kosofe, Lagos",400000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,1.0,"  Alpha Beach Rd, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Jibowu New Oko Oba, Abule Egba, Agege, Lagos",400000
2 bedroom flat / apartment for rent,2.0,3.0,2.0,"  Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  VGC, Lekki, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",3500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Spg Road, Ologolo, Lekki, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Badore, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Primewater View Estate Garden 2 Off Freedom Way, Ikate Elegushi, Lekki, Lagos",5000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Chevron Drive, Lekki, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Thomas Estate, Ajah, Lagos",1600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Pius Eze Estate Aboru, Iyana Ipaja, Ipaja, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",2800000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Osapa, Lekki, Lagos",5000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Chemist Busstop, Akoka, Yaba, Lagos",400000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Alausa, Ikeja, Lagos",18000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ojota, Lagos",340000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",450000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Thomas Estate, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid Road, Lekki, Lagos",2000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Orchid Road, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  GRA Phase 2, Magodo, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chief Rotimi Williams Estate Kay Farm Obawole Ifako Ijaye Lga, Ogba, Ikeja, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,1.0,1.0,"  Isheri, Ikotun, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  White-sand, Ologolo, Lekki, Lagos",3200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Graceland Estate, Ajah, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Alpha Beach Road, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Right Side, Lekki Phase 1, Lekki, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikorodu, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Banana Island, Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Adelabu, Surulere, Lagos",4200000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ladipo Labinjo Street Off Akinsemoyin Street, Bode Thomas, Surulere, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ayetoro Street, Aguda, Surulere, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Badore, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Palmgrove, Ilupeju, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",6500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Alexander Road, Ikoyi, Lagos",11000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Aletese/alahu, Ibeju Lekki, Lagos",300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Apptech Estate, Sangotedo, Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Blenco, Sangotedo, Ajah, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Sangotedo, Ajah, Lagos",900000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Third Avenue, Banana Island, Ikoyi, Lagos",22000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Kunsela Road, Ikate, Lekki, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Pedro Off Charly Boy, Pedro, Gbagada, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikota Villa Estate, By Mega Chicken, Ikota, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",15550500
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Lekki Phase 1, Lekki, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Milverton, Ikoyi, Lagos",30000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island (VI), Lagos",7500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Oakland Estate, Olokonla, Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Royal Garden Estate, Ajah, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Kusenla Road,chisco Bustop, Ikate, Lekki, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Eputu, Ibeju Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ibrahim Eletu Way, Osapa, Lekki, Lagos",1200000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Sangotedo, Ajah, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Abdulquadri Adebiyi Street, GRA Phase 2, Magodo, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Green Vile Estate, Badore, Ajah, Lagos",850000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Onigbongbo, Maryland, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Majek, Sangotedo, Ajah, Lagos",350000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",4000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Ikoyi, Lagos",17000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Badore, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",13000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off International Airport Ajao Estate, Isolo, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off International Airport Road Ajao Estate, Isolo, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Mobil Road, Ilaje, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Golden Pearls Estate Besides Lagos Business Schools, Olokonla, Ajah, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Balogun Quarters Coconut Road Onosa, Ibeju Lekki, Lagos",150000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Orchid Road, Lekki, Lagos",2000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron Alternative, Chevron, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Babajimi Benson / Igbe Road, Ikorodu, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Orchid Road, Lekki, Lagos",110000000
4 bedroom flat / apartment for rent,4.0,5.0,5.0,"  Old Ikoyi, Ikoyi, Lagos",35000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lakowe Golf, Lakowe, Ibeju Lekki, Lagos",1200000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Old Ikoyi, Ikoyi, Lagos",16050000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",15000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Old Ikoyi, Ikoyi, Lagos",16000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Old Ikoyi, Ikoyi, Lagos",14000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Estate, Banana Island, Ikoyi, Lagos",12000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Old Ikoyi, Ikoyi, Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Southern View Estate, Lekki, Lagos",550000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",16000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Parkview Estate, Parkview, Ikoyi, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Estate, Banana Island, Ikoyi, Lagos",20000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Victoria Island (VI), Lagos",15000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Meek & Honey Island, Via Happy Land Estate, Ajah, Lagos",450000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikate ( Salem), Lekki, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lagos Business School, Ajah, Lagos",1600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikate, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Drive, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota Villa Estate, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Second Toll Gate, Lekki, Lagos",3300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Conservation, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",3500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Sangotedo, Ajah, Lagos",500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Sangotedo( Ogidan), Ajah, Lagos",750000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ogudu, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Conservation Road Chevron Toll Gate, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",8500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Immediately After Lagos Business School Ajah, Ajah, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Mobil Road Ogoyo, Ilaje, Ajah, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Alpha Beach Road, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Alpha Beach Road, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Banana Island, Ikoyi, Lagos",30000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Thomas Estate, Ajah, Lagos",850000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Thamos Estate, Ajah, Lagos",650000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  2 Toll Gate Eleganza, Lekki, Lagos",3700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogidan, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogidan, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Salem, Ilasan, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  GRA Phase 1, Magodo, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Orchid, Lekki Phase 2, Lekki, Lagos",3700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ketu, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota, Lekki, Lagos",3800000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",8000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Ologolo Road, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ilaje, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ochid Road, Lekki Phase 1, Lekki, Lagos",2500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Hotel Bus Stop Isheri- Lasu, Isheri, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",7000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",3500000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Behind Shoprite, Sangotedo, Ajah, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Olokonla, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chief Rotimi Williams Estate Kay Farm Obawole Ifako Ijaye Lga, Ogba, Ikeja, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Blenco, Lbs, Ajah, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Road, Ikoyi, Lagos",20000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Alausa, Ikeja, Lagos",700000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron, Lekki, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate, Ajah, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Sangotedo, Ajah, Lagos",1150000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",13000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Banana Island, Ikoyi, Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island, Victoria Island (VI), Lagos",13000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Desa Community Estate, Ibeju Lekki, Lagos",500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ikeja GRA, Ikeja, Lagos",7000000
1 bedroom mini flat (room and parlour) for rent,1.0,3.0,6.0,"  Green Vile Estate, Badore, Ajah, Lagos",2000000
1 bedroom flat / apartment for rent,1.0,2.0,2.0,"  Chevron, Lekki Phase 2, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1600000
Flat / apartment for rent,1.0,1.0,1.0,"  Chisco Ikate, Ikate Elegushi, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Victoria Island (VI), Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Mobil Road, Ilaje, Ajah, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Drive, Lekki, Lagos",3300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Inside An Estate At Aboru, Iyana Ipaja, Ipaja, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Drive, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ologolo, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Providence Street,, Lekki Phase 1, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Gra, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Villa Estate, Lekki, Lagos",2300000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Chisco, Ikate, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Idado, Lekki, Lagos",2200000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Art Gallery Road, Ikate, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",12000000
